ProfileName,ProductId,Summary,Text
Super Trader,B0041CIP3M,Delicious!,My family loved this quick dinner kit. In 20 minutes our rice was done the curry had simmered and we were ready to eat. Instead of the beef recommended we used chicken breast cut into hearty chunks. This blended well with the sweetslightly spicy curry mix. We would defintely order and eat it again. There are no draw backs that we could see and we were pleasantly surprised that this was a product of Singapore.
Paul Wang,B0020ALBS8,This product is dog food not a snack for humans,I was looking for heathy sweet potato chips and see this item.  Ordered it quickly and had to return it because itis for dogs not for humans.I have nothing against dogs or dog food.  But I think the Amazon website needs to make a clearer distinctionbetween dog snacks and human snacks and not list them all on the same page for people to choose.
Courtney,B0029NGX34,All animals love it,"This is the best for all the animals.  The dogs love it to.  When someone is sick and needs to get eating, this is a great way to get them to it.  Not the cheapest cat food out there but if you want the best this is it."
paa0023,B000OYIDMY,Yummy!,"It was great, but the original flavors weren't in there. I was expecting grape, but it was something different. I also realized you can get the same laffy taffy box at sams for $6. Basically this is a rip off."
William S. Wolston,B001FYUVKE,Chloe loves them!,"Our Boston Terrier loves these bones - we give them to her as a treat or to keep her busy when we have company.  For a 16 lbs. dog she's a mighty chewer and these last her a couple of hours, with breaks to investigate if she's missing anything!  We'll buy more of these!"
Carol A. Chriswell,B001E5E2RW,"Torani Sugar-Free Syrup, Caramel","Thanks Amazon for offering this item on autoship.  We use it in our coffee every morning.  Delicious!!!!!!!Because it is sugar-free, I feel no guilt.  Also we add whipped cream to make the coffee taste like starbucks.  Yummy......."
Luvssassy,B005K4Q1T0,Keurig hot chocolate,I have tried several types of hot chocolate since purchasing my Keurig and this is by far the one I enjoy the most.  I have it shipped every month so that I don't worry about running out!!!
Yasmin Steinke,B001VT8K7E,"Delicious, Sweet and Non-Acidic",Thank you for quick delivery and wonderful customer service on the Roland Balsamic Vinegar of Modena.  I really have enjoyed this Balsamic Vinegar on Salads.
Aleesha Burgess,B001HWD2OG,Dog is not a fan,"My dog loves the chicken, steak, and peanut butter booda bones, but he's not as fond of the spearmint/peppermint variety.  My dog will eat it if offered, but my dad's dog who I often sit for will not even touch these.  I wouldn't recommend for a dog who prefers meat."
V. Block,B001HN5Z4K,Ripley and Daisy love these!,"These a little jerky bites, about 1 1/2"" x 3/4"". They are chewy and smell really good, very smoky. They are thankfully made in the USA. Both of my dogs love these."
Arthur,B0049W4QEG,Very Small,Opened the box and could not believe how small this was. The picture is very deceiving. The pot is probably two inches by 2 inches.If you want a super small project this is perfect for you but I was expecting something more
decaf in PA,B008YA1DZE,Pretty good,"I was looking for Coffee People cups but as i was told they dnt make them anymore so,this was ok for me."
Jill Guntur,B001LG945O,A flavor winner,"I usually cringe a little before I do a natural juice/carbonated beverage.  There is frequently something of an aftertaste that is unpleasant.This is refreshing, light, very bubbly and leaves a bright taste after with no cringe effects.I definitely would buy this drink."
"Tim Drake ""Author and Journalist""",B002TMV3CG,Disappointing Blend,"I do not know whether our product was out-dated, but my wife and I were both very disappointed in this brand of coffee. It had a bitter taste and simply wasn't what we had hoped. In comparison to other dark roast brands, I simply cannot recommend this one. We did not care for the flavor."
"L REN ""laurenelise00""",B0047ZEXN4,My dogs like them but they don't last too long....,These pork hide bones seem high quality and my dogs like them but they are 75 lb and 87 lb dogs so they don't last more than 15 min per bone. I am not sure that the 20 bones are gonna last in my house long at all. Wish they sold these same bones but much larger sized for large breed dogs. These bones would be perfect for 20 to 40 lb dogs
KennyT,B0090X8IPM,Doesn't taste as good as I thought,"I had originally thought that this Starbucks coffee will taste as good as the ones they sell at their stores. But it is not as good. The coffee doesn't taste as strong as other coffee (like Blue Mtn Hawaii coffee). Overall, you pay for what you get. I paid a discounted price on this, and I got a lesser quality product."
"Clare Guydish ""Going Places""",B000IXUK2W,Best candy bar ever,My son rated this as approved for heaven...and this is one picky kid...doesn't eat sweets much and is very finicky about everything he eats
"Karen Walker ""fedupwcrap""",B002Q8PQAS,Happy dogs,These biscuits are real favorites of my small CKC and my GSD. usually they don't like me to change their treats but these were lpve at first sniff and the vendors were quick and very courteous.
Michael Ledo,B009RB4GO4,SPICY AND FLAVORFUL,"This is more spicy and flavorful than the Green Mountain brand. For those that enjoy a robust flavored cider, this is the one. I obtained mine from the local Walmart for $7.98"
