ProfileName,ProductId,Summary,Text
Mary S. Clark,B000MAK3UA,Not 1-WW Point!,"I ordered this item because the 1-point WW popcorn is hard to find in the stores; and when i received it last night, it was the 3-point WW popcorn.  I was sent the wrong item; but the popcorn is delicious."
"K. Stuckey ""kateling""",B000M2UNI0,cheaper than warehouse club,"I love taking Pop-Tarts to school, great snack for energy. This order keeps me going for weeks."
John Weissman,B002SZRR1A,"Okay taste, but pricely","The question about any product is always, Is it worth it's price? Here, no. THe tea's taste is reviewed elsewhere, so check it out, and maybe it's standard practice by certain connie suers to ignore price, but I never do. I gave it a try, like it, but won't buy it again. Tastes tannicky. I'll stick to Barry's, and that's double what Trader Joe's Irish Breakfast cost, which is pretty good itself."
R. Ocasio,B008S5KZWM,Great Flavor but Bottle Top Hassle,"I used it in a Moqueca which is a Brazilian Fish Stew, and it was very delicious. The problem I had was with the bottle top. The recipe called for 1/4 c of the oil. Unfortunately, I was unable to remove the plastic top which does not unscrew.  It just has a flip top cap with a single hole in it and ended up just shaking it by drops into the measuring cup which was messy and a hassle."
Lindsaylouella,B000EGSUMA,MADE IN CHINA!,I was VERY excited to find this snack and opened it right away. They tasted amazing & I couldn't believe the great price for the product! THEN I found out they are MADE IN CHINA! You've got to be kidding me! I seriously have a problem with that & will be returning the products from Mr's May's that I've yet to open. I cannot believe they are stating they're a all natural healthy snack. Who even knows what's really in them!
TAMI,B002W9BLKU,"The best ""feel good"" energy drink!","I happened to stumble upon this drink, trying to find a drink to help with my daily workouts...this drink (grapefruit/my favorite)gives you a mental boost and also gives me the energy to have a awesome workout....This is by far the best energy drink out there..and drink them daily. In addition, the company donates the money to local charities..again so awesome!!"
Holly,B0078Y6OX8,Smells great and tastes even better...,I got my sister and mother hooked on this flavor. Is a deep flavor perfect for the Maryland winters and holidays.
Jessie Marafioti,B0009F3QL6,lonely evening drink,Yogi Egytian Licorice tea is a lovely way to relaze after dinner.  I have read in a health book that licorice tea help the blood to balance the sugar in the body after a meal.
Dr. Werner Schulz,B000E3FKXA,Best Cocoa Powder,"Actually, my wife is using this brand of cocoa powder, and she claims that after having tried many different brands this is the best brand on the market."
Marilyn Daggett,B003JA5KLM,Great coffee,The Keurig Green Mountain Nantucket Blend Coffee is great.  The flavor is pleasing and not too strong or too weak.  I like using the subscription plan.
DoodleBug,B000GINU8K,I adore this tea!,I am a tea junkie and this is one of my favorites for night-time; very mild and soothing.
Pillowtalk,B000FVBYCW,Great flavored tea,"This rosehip tea is surprisingly good, reminds me slightly of rhubarb with a subtle regular black tea undertone. The package did take 9 days to arrive & it was all crushed up inside the jiffy-bag so it's a good job it wasn't ordered as a gift. I also think the price is a bit steep for teabags. I just couldn't find this flavor in supermarkets, so I had to get it online."
Melter,B004AFXB3O,Dee-lish,"This caramel popcorn was absolutely delicious!!!  The 6 bags I ordered didn't last long in my house.  The price is a little steep, otherwise I would've ordered my second case already!  I'm waiting for a ""special occasion"" to order again, but definitely will!!!"
"NuiMax ""NuiMax""",B0009K77O8,BEST GENMAICHA TEA,IT'S THE BEST BROWN RICE GREEN TEA IF YOU LOVE GENMAICHA TEA THIS THE BRAND YOU WON'T DISAPPOINTED
miffie,B000PJMRWU,Not so good,These sugar free meringues are not very good.  They are very grainy.  I much prefer the ones with sugar but those were out of stock.
Judith H. Block,B001LQTD6Y,I love these cookies!,"It's so important to me that these cookies are sugar free and made with all natural ingredients. I love that they are made with spelt flour, too. They're delicious!!!"
Fred,B000HHLWMG,Dog Treats,Excellent service!  Excellent Price!  Excellent Product!  I can't keep the dog off the phone telling her friends how much she is enjoying her Best Buddy Treats!  I have a very happy dog!
CL,B002FJM9SU,Good food for baby and toddlers,I was pleased with this product for my baby. She has used organic formula along w/ breastfeeding. I was very confident feeding her this as I had done much research.
"S. Helwick ""organic mommy""",B000ER1EQI,Daughter's Fav Snank,"My daughter loves these snacks! They taste great and are heathier for her than other snack crackers. I just wish more came in the box for this price, since my daughter eats so many so fast!"
Bub,B0026RQTGE,Patches loves these!,Patches loves these and will put up with teeth brushing since he knows he'll get a Greenie at the end of it.
"Kim Cantrell ""Soap Box Bandit""",B001E96JZG,Quick Meal & Tastes Great!,"This package of six lasted no time in my home!  So simple to fix and great tasting, my teen boys had them eaten within a day!These simple meals would be great for brown bagging lunchers.  After only 4 minutes, you have a complete meal at restaurant quality."
Grad Mom,B00085F7SC,Perfect!,We purchased these for cake pop decorating and they worked out perfectly!  They were easy to work with and just the right color too!
Tulips,B001SAWZ8G,Delicious!!,"Tthe best lime curd I have ever had. Tangy, flavorful, and creamy. I found it about a dollar cheaper in the grocery store. Still pretty expensive. 5 bucks for a small jar. A great little indulgence."
James,B006ACQY8Y,Wonderful product,"I was very pleased with the Himalayan salt. It really does taste much better than ordinary salt and you can actually taste some of the other minerals in it. I would describe it like licking a salty rock, but in a good way. Very pleased and will be buying more."
ltxlady37,B0011MTYF8,Great tasting flavors.,"These are really good tasting flavors, my only complaint would be they aren't big enough and when you buy them in the  10 pack that they dont come with the lid that squirts the flavor out, instead it is just a covered lid which you have to remove to pour in the flavor thus you use more of the juice then needs to be used."
Hal C. Bryson,B002GOYT3M,A pleasant surprise,"As a single, middle-aged man who never really learned to cook, I'm always keeping my eye out for good frozen entrees.  This chicken curry, which I happened across in the local Ingles grocery store, was surprisingly tasty.  And I'm very picky.  Mind you, nowhere near as good as the Indian cuisine at two or three very good local restaurants, but for a frozen meal -- incredibly delicious.  The curry sauce is really quite good, the breast meat chicken is tender and the basmati rice was decent also."
GLC,B000QSON4K,Pill Pockets,The Greenies Pill Pockets are the first product that has effectively worked in getting my dogs to take their medications.  They actually look forward to this treat and make it a painless process rather than the difficult process it was in the past.
"W. Surrey ""average joe""",B002TMV3CG,Blah,"Didn't think this coffee was good or bad- just blah.  So, if it's on sale, grab it if you need cheap coffee for days when you don't demand good taste while getting your caffeine dose."
Mamac,B007R900WA,KEURIG CUP ORGANIZER,"It's not a problem with the product, but I didn't pay attention to the dimensions when I bought it and it seems really big for a small kitchen.  Will probably be returning it."
"T. Calvert ""T""",B000NLA51A,First had this 20 years ago and still remember it vividly!,"Yummy.  Texture is powdery so it mixes easily with water or milk.  More like matcha powder (green tea) or hot chocolate. Outstanding taste unlike any other unflavored coffee.  Brings back many memories of my time in the Peace Corps in 1991, sipping this coffee in Kingston or from the patio of a hostel on the highest peak in the Blue Mountains."
"greengiantdude ""greengiantdude""",B000CROPGG,Horrible - wouldn't feed it to a horse,"This cereal is hard, tasteless, and very difficult to chew.  Has a strange off-smell to it too.  I would not recommend this to anyone.  In fact I am going to write the company a letter since I am angry that I now have five and a half bags of crappy ""cereal"" lying around."
T. Lund,B001BM6IDY,The best around,We tried this product and were amazed. It tastes far better than any mix we've bought in a store. The only negative is that you tend to eat a lot more cake.
